一 ichi "one; best"
涯 hate horizon
殻 kara "shell, husk, hull, pod, chaff"
地殻 chikaku "(Earth's) crust"
貝殻 kaigara "seashell, shell"
輪郭 rinkaku "contour, outline, border, silhouette; summary, outline, sketch"
遊郭 yuukaku "(licensed) red light district"
外郭 gaikaku "outer wall (e.g. castle), outer block (enclosure); outline, contour"
掛け kake "money owed on an account, bill; proportion (of wholesale price, as tenths of list price)"
仕掛け shikake "device, contrivance, mechanism, gadget; trick, trap, calculated manipulation, gambit"
掛かる kakaru "to take (a resource, e.g. time or money); to hang"
喝采 kassai "acclamation, applause, ovation, cheers"
恫喝 doukatsu "intimidation, threat, bluster"
喝 katsu "exclamation used to scold practitioners (in Zen); scolding or threatening with a shout"
枯渇 kokatsu "drying up, running dry; running out, being exhausted, being drained"
渇望 katsubou "craving, longing, thirsting"
渇き kawaki thirst
乾燥 kansou "dryness, aridity, drying (e.g. clothes), dehydration, desiccation; insipidity"
乾杯 kanpai "cheers, bottoms-up, prosit; toast, drink (in celebration or in honor of something)"
乾き kawaki "drying, dryness"
勘違い kanchigai "misunderstanding, mistaken idea, wrong guess"
勘弁 kanben "pardon, forgiveness, forbearance"
勘 kan "perception, intuition, the sixth sense"
患者 kanja patient
疾患 shikkan "disease, ailment, illness"
患部 kanbu "affected part, diseased part, wound"
一貫 ikkan "consistency, coherence, integration; one kan (approx. 3.75 kg, 8.3 lb)"
貫く tsuranuku "to go through, to pierce, to penetrate; to run through (e.g. a river through a city), to pass through"
貫通 kantsuu "piercing, penetrating, perforating, passing through; being well versed (in something)"
眼 manako "eye, eyeball"
眼鏡 megane "glasses, eyeglasses, spectacles; judgment, judgement, discrimination, discernment, insight"
一眼 ichigan "one eye, single lens (e.g. camera)"
基本 kihon "basics, fundamentals, basis, foundation"
基準 kijun "standard, basis, criterion, norm, reference, datum"
基礎 kiso "foundation, basis"
寄付 kifu "contribution, donation"
寄せ yose "last moves (in go, shogi, or chess), endgame; gathering, collecting, coming together"
寄り yori "pushing back one's opponent while locked in close quarters; having a tendency towards, being close to"
規模 kibo "scale, scope, plan, structure"
規制 kisei "regulation, (traffic) policing, control, restriction"
規定 kitei "stipulation, prescription, provision, regulation, rule"
亀 kame "tortoise, turtle; heavy drinker"
亀裂 kiretsu "crack, crevice, fissure, chap, rift"
偽 nise "imitation, fake, phony, counterfeit, forged, bogus, sham; pseudo-"
偽善 gizen hypocrisy
偽装 gisou "camouflage, disguise; pretense, feigning, masquerade"
菊 kiku "chrysanthemum (Chrysanthemum morifolium)"
春菊 shungiku "edible chrysanthemum (Chrysanthemum coronarium), crown daisy, garland chrysanthemum"
白菊 shiragiku "white chrysanthemum"
脚 kyaku "counter for chairs or seats"
脚本 kyakuhon "script, screenplay, scenario"
三脚 sankyaku "tripod, three legs"
救済 kyuusai "relief, aid, rescue, salvation, help"
救い sukui "help, aid, relief, (religious) salvation, (Christian) grace, providence"
救急 kyuukyuu "first-aid, emergency (aid)"
地球 chikyuu "Earth, the globe"
地球人 chikyuujin "earthling, earthman"
野球 yakyuu baseball
謙虚 kenkyo "modest, humble"
虚構 kyokou "fiction, fabrication, concoction; fictitious, fictional, imaginary"
虚 uro "hollow, cavity, hole"
許可 kyoka "permission, approval, authorization, license; to permit, to authorize"
特許 tokkyo "patent, special permission, licence (license), concession, franchise, charter; proprietary"
免許 menkyo "license, permit, licence, certificate"
魚 sakana fish
金魚 kingyo goldfish
人魚 ningyo "mermaid, merman"
勉強 benkyou "study; diligence"
強い tsuyoi "strong, potent, competent, domineering, tough; strong, brawny, powerful, healthy, rugged"
強 kyou "a little over, a little more than; powerhouse, one of the biggest, one of the most powerful"
教え oshie "teaching, instruction, teachings, precept, lesson, doctrine"
教育 kyouiku "education, schooling, training, instruction, teaching, upbringing; culture, cultivation, education"
教授 kyouju "professor; teaching, instruction"
故郷 furusato "home town, birthplace, native place, one's old home"
郷 kyou "hometown; rural township (of China)"
郷土 kyoudo "native place, birth-place, one's old home; province, region, locality"
菌 kin "fungus; germ, bacterium, bacillus"
細菌 saikin "bacterium, bacteria, germ"
殺菌 sakkin "sterilization, sterilisation, disinfection"
危惧 kigu "apprehensions, misgivings, uneasiness, anxiety, fear"
偶然 guuzen "coincidence, chance, accident, fortuity; by chance, unexpectedly, accidentally"
配偶 haiguu combination
偶 tama "occasional, infrequent, rare"
発掘 hakkutsu "excavation, exhumation; discovery (e.g. new talent)"
採掘 saikutsu mining
掘る horu "to dig, to excavate, to hollow; to delve into"
啓発 keihatsu "enlightenment, development, edification, public awareness, illumination, education, inspiration"
啓蒙 keimou "enlightenment, instruction"
啓示 keiji "(divine) revelation"
掲載 keisai "publication (e.g. of an article in a newspaper), carrying (e.g. a story), running (e.g. a serial), insertion (e.g. of an advertisement), printing, posting (e.g. on the web)"
掲出 keishutsu "posting (e.g. a notice), displaying, putting up"
掲示板 keijiban "bulletin board, display board, notice board; electronic bulletin board, BBS"
渓谷 keikoku "valley (with a river running through it), gorge, ravine, canyon"
渓流 keiryuu "mountain stream, mountain torrent"
雪渓 sekkei "snowy valley"
経験 keiken experience
経済 keizai "economics, business, finance, economy"
経営 keiei "management, administration, operation, running (business), conducting"
蛍光 keikou fluorescence
蛍 hotaru "firefly (Luciola cruciata), lightning bug, glowworm"
蛍烏賊 hotaruika "firefly squid (Watasenia scintillans), sparkling enope squid"
健康 kenkou "health; healthy, sound, fit, wholesome"
健全 kenzen "healthy, sound, wholesome"
保健 hoken "preservation of health, hygiene, sanitation"
危険 kiken "danger, peril, hazard; risk"
保険 hoken "insurance, guarantee"
冒険 bouken "adventure, venture; venture which is unlikely to succeed, risky attempt, danger, hazard, risk"
現在 genzai "now, current, present, present time, as of"
表現 hyougen "expression, presentation; representation, notation"
現実 genjitsu "reality, actuality, hard fact"
舷側 gensoku "ship's side, broadside"
舷 gen "side of a boat, gunwale"
健康 kenkou "health; healthy, sound, fit, wholesome"
不健康 fukenkou "poor health, ill health, unhealthy"
小康 shoukou lull
控え hikae "reserve, spare, backup; note, memorandum"
控えめ hikaeme "moderate, reserved, conservative, humble, mild-mannered, self-effacing, unassuming, well-behaved, low-key, temperate, in small quantities"
控除 koujo "subtraction, deduction (e.g. tax), subsidy"
梗塞 kousoku "stoppage, tightness, block; infarction (e.g. cardiac)"
心筋梗塞 shinkinkousoku "heart attack, myocardial infarction"
桔梗 kikyou "Chinese bellflower, Platycodon grandiflorum"
黄色 kiiro "yellow, amber"
黄金 ougon "gold (Au); golden, prosperous, excellent, superb"
黄 ki yellow
黒 kuro "black; black go stone"
黒い kuroi "black; dark, blackish, sun-tanned (skin)"
黒人 kokujin "black person"
頃 koro "(approximate) time, around, about, toward; suitable time (or condition)"
今頃 imagoro "about this time"
近頃 chikagoro "lately, recently, nowadays"
結婚 kekkon marriage
結婚式 kekkonshiki "marriage ceremony, wedding, nuptials"
離婚 rikon divorce
混乱 konran "disorder, chaos, confusion, mayhem"
混雑 konzatsu "congestion, crush, crowding, jam; confusion, disorder"
混合 kongou "mixing, mixture, meld; miscegenation"
痕跡 konseki "trace, traces, vestige, vestiges"
痕 kon "scar (e.g. from operation, injection), trace, mark (e.g. skid marks)"
血痕 kekkon bloodstain
紺 kon "navy blue, deep blue"
紺色 kon'iro "deep blue, navy blue"
紺屋 kouya dyer
多彩 tasai "variegated, varicoloured, varicolored, multi-coloured, multi-colored, diverse"
色彩 shikisai "colour, color, hue, tints"
彩り irodori "coloring, colouring, coloration, colouration; color scheme, colour scheme, coordination (of colour)"
採用 saiyou "use, adoption, acceptance; appointment, employment, engagement, recruitment"
採取 saishu "picking, collecting, harvesting"
採択 saitaku "adoption, selection, choice"
経済 keizai "economics, business, finance, economy"
済み zumi "arranged, taken care of, settled, completed, finished"
済む sumu "to finish, to end, to be completed; to merely result in something less severe than expected"
祭 matsuri "festival, feast; harassment by an Internet pitchfork mob, online shaming, flaming"
祭神 saijin "enshrined deity"
祭典 saiten festival
書斎 shosai "study, library, den, home office, reading room"
斎 toki "meals exchanged by parishioners and priests"
斎場 saijou "funeral hall; ceremony site"
詳細 shousai "details, particulars, specifics; detailed, specific, minute"
細かい komakai "small; fine, minute"
細胞 saibou "cell; cell (in an organization, esp. a communist party)"
野菜 yasai vegetable
菜 na "greens, vegetables; rape (Brassica napus), rapeseed"
菜の花 nanohana "rape blossoms, rapeseed flowers"
埼玉 saitama "Saitama (city)"
長崎 nagasaki "Nagasaki (city); atomic bombing of Nagasaki"
川崎 kawasaki "Kawasaki (city)"
崎 saki "small peninsula"
悲惨 hisan "disastrous, tragic, miserable, wretched, pitiful, woeful"
惨事 sanji "disaster, tragedy, tragic incident, horrible accident"
惨状 sanjou "disastrous scene, terrible spectacle"
生産 seisan "production, manufacture"
産業 sangyou industry
資産 shisan "property, fortune, means, assets"
斬新 zanshin "novel, original, newness"
斬る kiru "to kill (a human) using a blade (sword, machete, knife, etc.), to slice (off), to lop (off), to cut (off)"
試し斬り tameshigiri "trying out a new sword or blade (originally on someone, but now on soaked straw targets)"
視点 shiten "opinion, point of view, visual point"
無視 mushi "disregarding, ignoring"
視聴 shichou "looking and listening, (television) viewing; attention, interest"
馬鹿 baka "fool, idiot; trivial matter, folly, absurdity"
鹿 shika "deer (esp. the sika deer, Cervus nippon), cervid"
馬鹿馬鹿しい bakabakashii "absurd, ridiculous, silly, ludicrous, nonsensical, asinine, foolish"
執筆 shippitsu "writing (e.g. as a profession)"
執行 shikkou "execution, carrying out, performance, enforcement, exercise, service; lead monk performing various tasks in a temple"
執着 shuuchaku "attachment, adhesion, tenacity, fixation, obsession"
捨てる suteru "to throw away, to cast away, to dump, to discard; to abandon, to desert, to leave"
使い捨て tsukaisute "throwaway, disposable, single-use"
切り捨て kirisute "cutting a person down (without a second thought), sacrificing, throwing to the wolves, treating as sword fodder; omission, rounding down (e.g. fractions), truncation"
容赦 yousha "pardon, forgiveness, tolerance, overlooking; leniency, mercy, going easy (on someone)"
恩赦 onsha "amnesty, pardon"
赦免 shamen "pardon, remission, amnesty"
斜め naname "slanting, tilted, sloping, diagonal, oblique; distorted (feeling), slanted (e.g. view of the world), bad (mood), amiss, awry"
斜面 shamen "slope, slanting surface, bevel"
傾斜 keisha "inclination, slant, slope, bevel, list, dip, tilt, lean"
蛇 hebi "snake; serpent, large snake"
長蛇 chouda "long snake; long line (of people, etc.)"
蛇足 dasoku "redundancy, superfluity, useless addition"
解釈 kaishaku "explanation, interpretation"
釈放 shakuhou "release, liberation, acquittal"
釈迦 shaka "Gautama Buddha, Shakyamuni, the historical Buddha"
寂しい sabishii "lonely, lonesome, solitary, desolate"
静寂 seijaku "silence, stillness, quietness"
寂 sabi "patina, antique look; elegant simplicity"
授業 jugyou "lesson, class work, teaching, instruction"
教授 kyouju "professor; teaching, instruction"
伝授 denju "(giving) instruction, initiation"
終了 shuuryou "end, close, termination"
終わり owari "the end"
最終 saishuu "last, final, closing"
羞恥 shuuchi "shyness, bashfulness, shame"
羞恥心 shuuchishin "shyness, shame"
含羞 ganshuu shyness
練習 renshuu "practice, practising"
学習 gakushuu "study, learning, tutorial"
習慣 shuukan "habit; custom, cultural practice"
週間 shuukan week
今週 konshuu "this week"
先週 senshuu "last week, the week before"
渋滞 juutai "congestion (e.g. traffic), delay, stagnation"
渋い shibui "astringent, bitter, puckery, rough, harsh, tart; austere, elegant (and unobtrusive), refined, quiet (and simple), sober, sombre, subdued, tasteful (in a quiet way), understated"
渋 shibu "astringent (puckery) juice (of unripe persimmons)"
